1,5,2023-10-01T12:30:00,Placed
2,12,2023-10-01T12:45:00,Preparing
3,7,2023-10-01T13:00:00,Served
4,20,2023-10-01T13:15:00,Placed
5,3,2023-10-01T13:30:00,Preparing
6,15,2023-10-01T13:45:00,Served
7,8,2023-10-01T14:00:00,Placed
8,25,2023-10-01T14:15:00,Preparing
9,10,2023-10-01T14:30:00,Served
10,1,2023-10-01T14:45:00,Placed
11,18,2023-10-01T15:00:00,Preparing
12,6,2023-10-01T15:15:00,Served
13,22,2023-10-01T15:30:00,Placed
14,9,2023-10-01T15:45:00,Preparing
15,14,2023-10-01T16:00:00,Served
16,2,2023-10-01T16:15:00,Placed
17,27,2023-10-01T16:30:00,Preparing
18,11,2023-10-01T16:45:00,Served
19,4,2023-10-01T17:00:00,Placed
20,19,2023-10-01T17:15:00,Preparing
